 ,Label,Area,Mean,Min,Max,Angle,Length(micrometer,Length(mm),Random num,Random
,,,,,,,,,0.912220188,0.726456923
,,,,,,,,,1.017757314,0.962297419
,,,,,,,,,0.573724329,0.962951036
,,,,,,,,,1.163376345,0.813831584
,,,,,,,,,0.44895899,0.720575345
,,,,,,,,,0.998608391,0.745370928
,,,,,,,,,1.369256996,0.625075792
,,,,,,,,,0.533364903,0.589545429
,,,,,,,,,0.745430299,0.909216582
,,,,,,,,,1.654429251,1.194559872
,,,,,,,,,0.573763975,0.506216194
,,,,,,,,,1.466785669,0.798349319
,,,,,,,,,1.31264279,1.260953957
,,,,,,,,,0.62169575,1.046177826
,,,,,,,,,0.531184384,0.607128632
,,,,,,,,,1.428329241,0.928639865
,,,,,,,,,0.812709225,0.953514
,,,,,,,,,0.813303912,1.353890752
,,,,,,,,,1.650504317,1.152035765
,,,,,,,,,0.977913283,0.984632361
,,,,,,,,,0.649566749,0.894767275
,,,,,,,,,1.108625492,1.350873047
,,,,,,,,,1.268001617,1.382613278
,,,,,,,,,0.850808841,0.926339601
,,,,,,,,,1.548654251,0.784024714
,,,,,,,,,1.580133018,0.920374562
,,,,,,,,,0.864645226,1.189561348
,,,,,,,,,1.25305515,1.07751286
,,,,,,,,,1.28619904,1.094641444
,,,,,,,,,1.373895555,0.966246619
,,,,,,,,,1.543500297,0.323320379
,,,,,,,,,1.301700549,0.843542556
,,,,,,,,,1.078415391,1.43445103
,,,,,,,,,0.49070602,0.536573256
,,,,,,,,,0.798753903,1.207697033
,,,,,,,,,1.085551636,0.623539447
,,,,,,,,,1.509206678,1.227602756
,,,,,,,,,0.4729447,0.736067756
,,,,,,,,,1.658948872,1.028257832
,,,,,,,,,1.679009648,0.94099478
